Gold Question	Modified Question	Answerability Score User 1	Answerability Score User 2
What is another type of accountant other than a CPA?	What is another type of accountant other than a	2	2
What idea was Tesla a fan of?	What idea Tesla fan of?	5	4
What is the oldest surviving European tapestry in the V&A collection?	What is the surviving European tapestry in the V&A collection?	5	5
What did Jamukha request from Temüjin instead of friendship?	What did request from instead of friendship?	2	2
How do co-teachers work with each other to fulfill the needs of students?	When do co-teachers work with each other to fulfill the needs of students?	5	5
What kind of region can be found inside the urban area of southern California?	What of can be found inside the urban area of California?	2	2
What Fields Medal winning Mathematician is a faculty member at Harvard?	When Medal winning Mathematician is a faculty member at Harvard?	4	4
Where were missing patents later found?	Why were missing patents later found?	3	3
What percentage of oxygen will a zeolite sieve produce?	Who of oxygen will a zeolite sieve produce?	3	3
How many people were in French North American Colonies?	How were in French North American Colonies?	3	3
What type of teaching would help the most with everyday life?	Why of teaching would help the most with everyday life?	3	3
How many Nobel Laureates are among the school alumni?	How many Nobel Laureates among school alumni?	4	4
Low doses of anti-inflammatories are sometimes used with what classes of drugs?	Low doses of are sometimes used with what of drugs?	2	2
What famous writer was Tesla's good friend?	Why writer was Tesla's good friend?	5	5
Who does a gender pay gap tend to favor?	Who gender pay gap tend favor?	4	4
Where was Parliament's temporary home whilst the permanent building was being built?	Where was Parliament's temporary home whilst the building was being built?	5	5
What can't Parliament do that causes equality and democracy to be deficient?	What can't do that causes equality and democracy to be deficient?	3	3
Whose theory was the theory of continental drift?	Whose theory was the theory of continental	5	5
How many white settlers were living in Kenya in the 1950's?	How many white settlers living Kenya 1950's?	4	4
Petrologists identify rock samples in the field and where else?	Petrologists identify samples in the field and	2	2
What would Mongol armies divert in order to cut off the resources of cities they were attacking?	What Mongol armies divert in order to cut off the resources of cities they were attacking?	5	5
Where does the Lek join?	Where does the Lek	1	2
Where was Tesla's property sent?	Which was Tesla's property sent?	3	3
what did tesla note the hazards of working with?	what tesla note hazards working with?	3	3
Which Middle Eastern nation in particular views Genghis Khan as a contemptible perpetrator of genocide?	Why Eastern nation in particular views Genghis Khan as a contemptible perpetrator of genocide?	5	5
Thousands of madrasahs spawned what organization?	Thousands of madrasahs spawned why	3	3
What is floridean?	What floridean?	3	3
What country has such unmanageable students that many teachers do not discipline them?	What has such unmanageable students that many teachers do not discipline them?	3	3
What organization did Tesla serve as vice president of?	What organization Tesla serve vice president of?	5	5
When could V&A Dundee?	whose could V&A Dundee?	2	2
What is a single Plastoglobuli called?	who a single Plastoglobuli called?	3	3
What globally popular half marathon began in 1981?	What globally popular half marathon began 1981?	5	5
What did Astor expect the money be used for?	What did expect the money be used for?	2	2
When did Tesla begin working for the Continental Edison Company?	When did begin working for the Continental Edison Company?	2	2
When did he first mention wireless communication?	Whom did he first mention wireless communication?	5	5
What did Tesla call his electrical effects in 1893?	What Tesla call electrical effects 1893?	5	5
What should a teacher guide a student in?	Who a teacher guide a student in?	3	4
What amount of time was the longest that Tesla spent working without stopping to rest?	Who of time was the longest that Tesla spent working without stopping to rest?	4	4
Who led the most rapid expansion of the Mongol Empire?	Why led the most rapid expansion of the Mongol Empire?	4	4
